text,aspect_term,polarity
"woke up to the sounds of mario . spencer stole his mamas wii
 . hell yes !",wii,neu
"well i checked it out in consumer reports -lrb- my dad subscribes -rrb- and they say go with the kindle
 , so i 'll probably do that . thanks for tips : -rrb-",kindle,neu
"lol if you don't know how to cook you better get you a fucking martha stewart
 book",martha stewart,neg
"is listening to micheal jackson
 album > 3 legends live for ever ! we love you micheal x",micheal jackson,pos
"blinking because my contact was dry and this chick thought i was winking at her o.o  nice braids cutie . . you look like alicia keys
  awkwardmoment",alicia keys,neu
"lol  i get to go to lots of overseas places , like canada .  - britney spears
 quote",britney spears,neu
"garth brooks : ' the system won't let obama
 do his job  paul bernaert :  don't be a crybaby ",obama,neg
"am watching peejaybe and his perfect king fu moves on the wii
 fit plus ! am loving it !",wii,pos
"oct 5 , 1947 harry truman made the 1st ever presidential address aired on television . now president , barack obama
 , is pretty much all we see on television !!",barack obama,neu
"nobel peace prize is for u-2 , jimmy carter
 , obama , and jill chaplin , md , has it for shout  cripples ! ",jimmy carter,neu
"i don't believe that anything could make s&m a worse song than it already was -lrb- even britney spears
 -rrb- so i am voting yay on the rihmix .",britney spears,neg
lol i love that planetjedward are such fangirls for britney,britney,pos
"listening to a-game the air plane on raiiney ' is ipod
 , why am i gon na make a routine , well and dancing , lol ,",ipod,neu
" it is a privilege to be here , to open for lady gag . i 've made it !  barack obama
 - ha !",barack obama,neu
"see , the racist is . mcgavin kgrayson23 says that president obama
  beats  women and  molests  children ... .",obama,neg
" yeah know you don't hear the good ones any more like soulja boy
 .  my mother :-rrb- alexisnan haydenfryery",soulja boy,pos
"and michael stipe is on jimmy fallon
 and nervous . will perform new song with the roots band . mentioned james franco . this is memorable ! : -rrb-",jimmy fallon,neu
"do any of my followers have a picture of britney spears
 performing live ? just had an idea for my uni course but need a fresh photo , deathmatch me !",britney spears,neu
"damn obama
 can you attempt to lower gas prices ?",obama,neg
100factsaboutme 2 i love justin bieber,justin bieber,pos
"revealed . . nicolas cage
 ' s secret passion -",nicolas cage,neu
"link time ! : madonna
 and lady gag fake fight on snl - company jude law has been confirmed as the father of sa . .",madonna,neu
"and i know yall heard about the rumors of madonna
 wanting to have pacs baby ... yeah i kicked that bitch into an abortion .",madonna,neg
"acoracle love the nba go lakers
 . watching ufc now .",lakers,pos
"in the wii
 news : the biggest loser : : wii
 and ds game review",wii,neu
"currently reading the british version of harry potter
 and the deathly hallows and wishing i had a fireplace in my hotel room .",harry potter,neu
" to be clear , the real sarah palin
 can not , repeat , not see russia from her house .  cnnfactcheck",sarah palin,neg
"3 by britney spears
 , my most played for these past two days ! feels like d-d-dancing !",britney spears,pos
"new video  unthinkable  by porta_rich_itd ft alicia keys
 -- > . youtube",alicia keys,neu
michele bachmann action figure not as popular as sarah palin,sarah palin,neu
"i swear britney spears
 piss somebody in twitterland , smooth off . at least 1ce a week , her and her good friend penis try to follow me on here",britney spears,neg
"i have an actual kindle
 and totally love it . the nook looks pretty nice too .",kindle,pos
"bieberfact katy perry
 says if she was very happy when she kissed justin :-rrb- rt if you want too .",katy perry,neu
"madonna
 shoes offered to gypsy charity in romania : ap - madonna
 is putting her shoes where her mouth is .",madonna,neu
"fuck is wrong with corey gunz , he can't make a choice between weezy and nick cannon
 , who the fuck is nick cannon
 again ?",nick cannon,neg
"at least you didn't hurt yourself playing the wii
 .",wii,pos
"charlie sheen
 loses another legal battle in contract dispute : charlie sheen
 lost his latest bid to force a cou ... .",charlie sheen,neu
"shouts to felixcartal for his very great rmx of outrageous by britney spears
 !",britney spears,neu
"i 'm not cool , says john legend
 - asiaone : asiaonei 'm not cool , says john legend
 may have a reputation f ... .",john legend,neg
"give stanza a look . it 's pretty good . kindle
 application for phone is good too . what about sony 's book reader ?",kindle,pos
"kim kardashian
 glows around kris humphries : kim kardashian
 and her beau , kris humphries , had a blast at kourtney ... .",kim kardashian,neu
"xbox
 live : sleepy not dead is currently online . playing last.fm . listening to music . -lrb- xbox
 live nation -rrb-",xbox,neu
"stephen colbert and jimmy fallon
 , singing rebecca black ? i don't know what part of that makes me want to kill someone the most .",jimmy fallon,neg
"why do you love lady gaga
 so much ? :d -- theres so many things so ill give you my top 5 reasons ; 1 . the fact she in ... .",lady gaga,pos
"katy perry
 wants to crash the royal wedding ! .",katy perry,neu
"i just smoked a dub by myself for some reason and now i want some cheese doodles like i was ms britney spears
 herself",britney spears,neu
"getting bored of playing about with windows 7
 and twitter . off to put a film on and relax in front of television .",windows 7,neg
"damn i really need a itouch ... or ipod
 in general",ipod,pos
"... also , it just seems like the ipod
 might be less prone to problems now that it 's been out for a while .",ipod,neu
"ooh ! i like this britney spears
 3 remix ! its crack-a-dotious ! who made it ? -lrb- crack-a-dotious lmao oh man -rrb-",britney spears,neu
"so obama got a nobel peace prize for doing what exactly ... ? jimmy carter
 got one too , and he was like the worst president . so ... ?",jimmy carter,neg
"for some awkward reason , iphone
 application updates make me really happy . ; p",iphone,pos
"on this xbox
 what 's good",xbox,neu
"check this video out -- sweet dreams britney spears
 interlude",britney spears,neu
"incidentally nicolas cage
 , i would blame your manager for your financial ruin , i 'd blame your bad acting and horrible choice of movies .",nicolas cage,neg
"love the shows oprah
 comes up with !! such an inspiration !",oprah,pos
"ha !! natawa ako sa epic tweet ha ! sabe ni selena gomez
 : who says your not perfect , miley cyrus : nobody 's perfect then pink : f * ckin perfect",selena gomez,neu
"britney 's best bikinis : earlier we brought you shots of britney spears
 looking fabulous in a bikini on vac . .",britney spears,neu
"so swizz beats has a song called  dance like a white girl  . and he 's fucking alicia keys
 . stuff like this is why i don't pray .",alicia keys,neg
"i need a google wave
 invite to hot.chic1985 googlemail.com please",google wave,pos
"yeah well at least they have a kindle
 application .",kindle,neu
"jimmy carter
 talked about peace and poverty housing on the today show today :",jimmy carter,neu
"roflmao ! the x-factor twins doing britney spears
 must be the best piece of comedy this year ! losers !!!!!!!!! xfactor edward john britney",britney spears,neg
"it 's so weird how selena can't say :  im dating justin bieber
  she makes it all complicated ... ugh .",justin bieber,pos
"ruleofrelationships loudly blasting britney spears
 while i 'm in the car is a deal breaker . so is bad hygiene - in that order .",britney spears,neu
"or just a reg . ipod
 i need to listen to my music when walking around this lame ass campus to tune these muddasuckas out",ipod,neu
"breaking news ! actor charlie sheen
 and r&b king r kelly got into a fight and r kelly was arrested for -lrb- continued -rrb- .",charlie sheen,neg
"how does the musics you made with lindsay lohan
 sounds ? i mean , it 's like electro pop , balads or whatever ? love your work",lindsay lohan,pos
"pat buchanan award was nobel comity saying stick it to george bush
 and a publicity stunt politics",george bush,neu
"toxic -lrb- britney spears
 cover -rrb- - a static lullaby ichaaaw",britney spears,neu
"barack obama
 promised to create jobs & he actually made good on that promise ! unfortunately , they were created for the citizens of brazil .",barack obama,neg
"recently watched halo legends premiere : babysitter on xbox
 live waypoint . found it surprisingly interesting - very high product . value . anime",xbox,pos
"yes i bet i buy more than double . seriously , it 's way less trouble for me to download a book to the kindle
 !",kindle,neu
"omfg this damn dog done chewed up this psp
 game oh lord give me strength to not kill him",psp,neu
"martha stewart
 and oprah get crafty - video - oprah.com .",martha stewart,neg
"i fucking love britney spears
 : -rrb-",britney spears,pos
"yeah the singer is not the best , plus  she 's not me !  bad madonna
 imitation lol",madonna,neu
"last thought on kindle
 - v2 form factor is much preferable to the huge dx , but annoyingly it doesn't render pages as well or pd",kindle,neu
"listening to britney spears
 . wow the quality of music is so bad now . shame on the companies that sign them .",britney spears,neg
"vice president joe biden
 is an honorable man . it is not that he loves the constitution less , but that he adores ... .",joe biden,pos
"~ a static lullaby ★ toxic -lrb- britney spears
 cover -rrb- ~ ... ♫ ~ ez4r4",britney spears,neu
"barack obama
 is coming to singapore ! we sure hope the rumors are true that he 'll stop by o'bama 's irish pub for a quick pint during apec ...",barack obama,neu
"usdor barack obama
 has now fired more cruise missiles than all other nobel peace prize winners combined . .",barack obama,neg
"britney spears
 - 3 . . love the new song and can't wait to see the video ... go brit !!!!!!! < 3",britney spears,pos
"hearing that lindsay lohan
 isn't doing to well . positive thoughts !",lindsay lohan,neu
"photo : i would douse lindsay lohan
 with raid if she came near my children . nuh . uh . no .",lindsay lohan,neu
"spunkdesign apple survey - what is your opinion of apple products ? ipad
 sucks ? apple .",ipad,neg
" mr ensign said he will send an official resignation letter to vice president joe biden
 today .  joe will try not to snort like lily tomlin .",joe biden,pos
"i 'm interested in amelia earhart and i love mira nair , but hilary swank
 really bothers me . to see or not to see ?",hilary swank,neu
"screens : tales of monkey island : the trial and execution of guybrush threepwood -lrb- wii
 / pc -rrb-",wii,neu
